id,name,repeat+AF8-id,batch+AF8-size,learning+AF8-rate,env+AF8-name,epsilon+AF8-decay,debug,is+AF8-curiosity,episode,e+AF8-score,e+AF8-score+AF8-min,e+AF8-score+AF8-max,score+AF8-avg,score+AF8-best,loss,,,,,,,,,,,,,,,,,,
360,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-36+AF8-360,36,32,0.1,CartPole+AC0-v0,0.01,False,False,50,41,1,1,33.3,125,3.64293445828484,,,,,,,,,,,,,,,,,,
289,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-29+AF8-289,29,32,0.01,CartPole+AC0-v0,0.001,False,False,50,50,1,1,43.34,183,4.32768547981978,,,,,,,,,,,,,,,,,,
340,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-34+AF8-340,34,32,0.001,CartPole+AC0-v0,0.01,False,False,50,10,1,1,10.62,34,1.49933448433876,,,,,,,,,,,,,,,,,,
364,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-37+AF8-364,37,64,0.001,CartPole+AC0-v0,0.001,False,False,50,17,1,1,16.84,70,2.31061709628386,,,,,,,,,,,,,,,,,,
363,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-37+AF8-363,37,64,0.001,CartPole+AC0-v0,0.001,False,False,50,45,1,1,18.7,50,2.60551765759786,,,,,,,,,,,,,,,,,,
342,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-35+AF8-342,35,32,0.01,CartPole+AC0-v0,0.01,False,False,50,11,1,1,11.52,28,1.85068985548886,,,,,,,,,,,,,,,,,,
331,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-34+AF8-331,34,32,0.001,CartPole+AC0-v0,0.01,False,False,50,11,1,1,17.36,64,2.40230544046922,,,,,,,,,,,,,,,,,,
346,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-35+AF8-346,35,32,0.01,CartPole+AC0-v0,0.01,False,False,50,33,1,1,14.26,50,2.30804071823756,,,,,,,,,,,,,,,,,,
341,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-35+AF8-341,35,32,0.01,CartPole+AC0-v0,0.01,False,False,50,15,1,1,19.7,68,3.43544453382492,,,,,,,,,,,,,,,,,,
414,apr+AF8-28+AF8-cart+AF8-pole+AF8-grid+AF8-42+AF8-414,42,64,0.1,CartPole+AC0-v0,0.0001,False,False,50,19,1,1,19.82,74,2.97988518288261,,,,,,,,,,,,,,,,,,
